|public_device_record_key|commercial_distribution_status|k_number|device_description|company_name|brand_name|public_version_date
50|c7776547-a426-4bf0-a934-ddd5ef127849|In Commercial Distribution|||IN2BONES|TRIWAY|2022-06-10
51|8ffda010-9e05-4d22-adcb-03957c6f70fd|In Commercial Distribution|||IN2BONES|TRIWAY|2020-06-12
52|1741b086-91ce-48ff-bd70-b0be8fe44725|In Commercial Distribution|||IN2BONES|TRIWAY|2020-06-12
53|6ebd5171-cb4f-4efa-b31c-0b0dfe1bb379|In Commercial Distribution|K173811||IN2BONES|TRIWAY|2019-03-11
54|8b46ebd6-907c-48f3-aea9-8b2fe20e7ba5|In Commercial Distribution|K173811||IN2BONES|TRIWAY|2019-03-11
55|b865f92f-ca26-4f57-914e-c515b5fd2161|In Commercial Distribution|||IN2BONES|TRIWAY|2019-03-11
56|f38eeb4d-63f7-409f-af1c-3546e2a1d9db|In Commercial Distribution|||IN2BONES|TRIWAY|2020-04-06
57|e6fc733b-01d4-4722-a02b-84ed77fc790d|In Commercial Distribution|||IN2BONES|TRIWAY|2022-05-18
58|79c3ab65-f7e1-4033-90bb-0afe4e9b4acb|In Commercial Distribution|||IN2BONES|TRIWAY|2020-06-12
59|9642ddaa-9609-43ea-ab01-1829e8684aa0|In Commercial Distribution|||IN2BONES|TRIWAY|2020-06-12
60|ba6e08b0-6bff-4310-af45-b70a16c54fea|In Commercial Distribution|||IN2BONES|TRIWAY|2020-09-22
61|deb12360-07fc-45c9-b608-4095c9dc01f0|In Commercial Distribution|||IN2BONES|TRIWAY|2020-06-12
62|7ac63925-07f8-4fbf-93a9-fefcfa984799|In Commercial Distribution|||IN2BONES|TRIWAY|2019-03-11
63|a6a913fb-6f30-4f1f-a148-59de5a2b0fa8|In Commercial Distribution|||IN2BONES|TRIWAY|2020-06-17
